-------------------------------G4_H
-------------------------------sigma-
### Fill Cross Sections for sigma- off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  351       327.3     0.02375    0.008487      0.03224
  352         335     0.02386    0.008616      0.03248
  353       342.8     0.02385    0.008751       0.0326
  354       350.8     0.02383    0.008893      0.03272
  355       358.9     0.02382     0.00904      0.03286
  356       367.3     0.02369    0.009194      0.03288
  357       375.8     0.02347    0.009354      0.03283
  358       384.6     0.02325    0.009521      0.03277
  359       393.6     0.02303    0.009693      0.03272
  360       402.7      0.0228    0.009872      0.03267
  361       412.1     0.02256     0.01006      0.03262
  362       421.7     0.02233     0.01025      0.03258
  363       431.5     0.02213     0.01045      0.03258
  364       441.6     0.02203     0.01065      0.03268
  365       451.9     0.02193     0.01086      0.03279
  366       462.4     0.02183     0.01107       0.0329
  367       473.2     0.02172     0.01129      0.03301
  368       484.2     0.02162     0.01151      0.03313
  369       495.5     0.02151     0.01174      0.03325
  370         507     0.02126     0.01197      0.03323
  371       518.8     0.02097     0.01221      0.03318
  372       530.9     0.02068     0.01245      0.03313
  373       543.3     0.02037      0.0127      0.03307
  374       555.9     0.02007     0.01294      0.03301
  375       568.9     0.01976      0.0132      0.03295
  376       582.1     0.01968     0.01345      0.03313
  377       595.7     0.01963     0.01371      0.03333
  378       609.5     0.01957     0.01396      0.03354
  379       623.7     0.01952     0.01423      0.03374
  380       638.3     0.01946     0.01449      0.03395
  381       653.1     0.01942     0.01475      0.03417
  382       668.3     0.01941     0.01502      0.03442
  383       683.9     0.01939     0.01528      0.03467
  384       699.8     0.01937     0.01555      0.03492
  385       716.1     0.01935     0.01581      0.03516
  386       732.8      0.0193     0.01608      0.03538
  387       749.9     0.01923     0.01634      0.03558
  388       767.4     0.01916     0.01661      0.03577
  389       785.2     0.01909     0.01687      0.03596
  390       803.5     0.01901     0.01714      0.03615
  391       822.2     0.01891      0.0174      0.03631
  392       841.4      0.0188     0.01766      0.03646
  393         861     0.01869     0.01792      0.03661
  394         881     0.01858     0.01817      0.03675
  395       901.6     0.01847     0.01843      0.03689
  396       922.6     0.01835     0.01868      0.03703
  397       944.1     0.01823     0.01893      0.03716
  398       966.1      0.0181     0.01918      0.03728
  399       988.6     0.01786     0.01942      0.03728
  400        1012      0.0176     0.01967      0.03727
  401        1035     0.01735      0.0199      0.03725
  402        1059     0.01708     0.02014      0.03722
  403        1084     0.01682     0.02037      0.03719
  404        1109     0.01654      0.0206      0.03715
  405        1135     0.01627     0.02083       0.0371
  406        1161     0.01611     0.02106      0.03717
  407        1189     0.01595     0.02127      0.03723
  408        1216     0.01579     0.02149      0.03728
  409        1245     0.01562      0.0217      0.03733
  410        1274     0.01546     0.02191      0.03737
  411        1303     0.01528     0.02212       0.0374
  412        1334     0.01511     0.02232      0.03743
  413        1365     0.01494     0.02252      0.03746
  414        1396     0.01476     0.02272      0.03748
  415        1429     0.01459     0.02291      0.03749
  416        1462      0.0144      0.0231       0.0375
  417        1496     0.01424     0.02328      0.03752
  418        1531     0.01412     0.02346      0.03757
  419        1567     0.01399     0.02364      0.03763
  420        1603     0.01386     0.02381      0.03767
  421        1641     0.01373     0.02398      0.03771
  422        1679     0.01359     0.02414      0.03774
  423        1718     0.01345     0.02431      0.03775
  424        1758      0.0133     0.02446      0.03776
  425        1799     0.01314     0.02462      0.03776
  426        1841     0.01299     0.02477      0.03776
  427        1884     0.01284     0.02492      0.03775
  428        1928     0.01268     0.02506      0.03775
  429        1972     0.01253      0.0252      0.03773
  430        2018     0.01237     0.02534      0.03771
  431        2065     0.01222     0.02547      0.03769
  432        2113     0.01207      0.0256      0.03768
  433        2163     0.01193     0.02573      0.03766
  434        2213     0.01178     0.02586      0.03763
  435        2265     0.01162     0.02598       0.0376
  436        2317     0.01147      0.0261      0.03756
  437        2371     0.01131     0.02621      0.03752
  438        2427     0.01115     0.02632      0.03747
  439        2483     0.01098     0.02643      0.03741
  440        2541     0.01081     0.02654      0.03734
  441        2600     0.01064     0.02664      0.03727
  442        2661     0.01046     0.02674       0.0372
  443        2723     0.01028     0.02683      0.03711
  444        2786     0.01009     0.02693      0.03702
  445        2851    0.009902     0.02702      0.03692
  446        2917    0.009709     0.02711      0.03682
  447        2985    0.009525     0.02719      0.03672
  448        3055    0.009445     0.02728      0.03672
  449        3126    0.009363     0.02736      0.03672
  450        3199     0.00928     0.02744      0.03672
  451        3273    0.009195     0.02751      0.03671
  452        3350    0.009108     0.02759       0.0367
  453        3428    0.009019     0.02766      0.03668
  454        3508    0.008928     0.02773      0.03666
  455        3589    0.008835     0.02779      0.03663
  456        3673     0.00874     0.02786       0.0366
  457        3758    0.008643     0.02792      0.03657
  458        3846    0.008544     0.02798      0.03653
  459        3936    0.008443     0.02804      0.03648
  460        4027     0.00836      0.0281      0.03646
  461        4121    0.008277     0.02815      0.03643
  462        4217    0.008192      0.0282       0.0364
  463        4315    0.008105     0.02825      0.03636
  464        4416    0.008017      0.0283      0.03632
  465        4519    0.007926     0.02835      0.03628
  466        4624    0.007834      0.0284      0.03623
  467        4732    0.007739     0.02844      0.03618
  468        4842    0.007642     0.02848      0.03612
  469        4955    0.007562     0.02852      0.03608
  470        5070    0.007527     0.02856      0.03609
  471        5188    0.007491      0.0286      0.03609
  472        5309    0.007454     0.02863      0.03609
  473        5433    0.007416     0.02867      0.03608
  474        5559    0.007377      0.0287      0.03608
  475        5689    0.007337     0.02873      0.03607
  476        5821    0.007297     0.02876      0.03606
  477        5957    0.007255     0.02879      0.03605
  478        6095    0.007213     0.02882      0.03603
  479        6237    0.007169     0.02885      0.03601
  480        6383    0.007125     0.02887        0.036
  481        6531     0.00708     0.02889      0.03597
  482        6683    0.007033     0.02892      0.03595
  483        6839    0.006986     0.02894      0.03593
  484        6998    0.006958     0.02896      0.03592
  485        7161     0.00694     0.02898      0.03592
  486        7328    0.006922       0.029      0.03592
  487        7499    0.006903     0.02902      0.03592
  488        7674    0.006884     0.02903      0.03592
  489        7852    0.006864     0.02905      0.03591
  490        8035    0.006844     0.02906      0.03591
  491        8222    0.006823     0.02908       0.0359
  492        8414    0.006802     0.02909      0.03589
  493        8610    0.006781      0.0291      0.03589
  494        8810    0.006759     0.02912      0.03588
  495        9016     0.00675     0.02913      0.03588
  496        9226    0.006747     0.02914      0.03589
  497        9441    0.006744     0.02915      0.03589
  498        9661    0.006741     0.02916       0.0359
  499        9886    0.006738     0.02917       0.0359
  500   1.012e+04    0.006735     0.02917      0.03591
  501   1.035e+04    0.006732     0.02918      0.03591
  502   1.059e+04    0.006729     0.02919      0.03591
  503   1.084e+04    0.006725     0.02919      0.03592
  504   1.109e+04    0.006722      0.0292      0.03592
  505   1.135e+04    0.006718      0.0292      0.03592
  506   1.161e+04    0.006715     0.02921      0.03592
  507   1.189e+04    0.006711     0.02921      0.03592
  508   1.216e+04    0.006707     0.02921      0.03592
  509   1.245e+04    0.006704     0.02922      0.03592
  510   1.274e+04      0.0067     0.02922      0.03592
  511   1.303e+04    0.006696     0.02922      0.03592
  512   1.334e+04    0.006692     0.02922      0.03592
  513   1.365e+04    0.006687     0.02923      0.03591
  514   1.396e+04    0.006683     0.02923      0.03591
  515   1.429e+04    0.006679     0.02923      0.03591
  516   1.462e+04    0.006674     0.02923       0.0359
  517   1.496e+04     0.00667     0.02923       0.0359
  518   1.531e+04    0.006665     0.02923      0.03589
  519   1.567e+04     0.00666     0.02923      0.03589
  520   1.603e+04    0.006655     0.02923      0.03588
  521   1.641e+04     0.00665     0.02923      0.03588
  522   1.679e+04    0.006645     0.02922      0.03587
