-------------------------------G4_H
-------------------------------proton
### Fill Cross Sections for proton off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  346       291.7     0.02483   5.859e-05      0.02489
  347       298.5     0.02497   0.0001205      0.02509
  348       305.5     0.02511   0.0001869       0.0253
  349       312.6     0.02525    0.000258      0.02551
  350       319.9     0.02536   0.0003355      0.02569
  351       327.3     0.02546   0.0004195      0.02588
  352         335     0.02556   0.0005106      0.02607
  353       342.8     0.02567   0.0006102      0.02628
  354       350.8     0.02577   0.0007194      0.02649
  355       358.9     0.02588   0.0008393      0.02671
  356       367.3     0.02598   0.0009715      0.02695
  357       375.8     0.02608    0.001118       0.0272
  358       384.6     0.02619     0.00128      0.02747
  359       393.6     0.02626    0.001462      0.02772
  360       402.7     0.02629    0.001664      0.02795
  361       412.1     0.02631    0.001892      0.02821
  362       421.7     0.02634    0.002147      0.02849
  363       431.5     0.02637    0.002435      0.02881
  364       441.6      0.0264    0.002761      0.02916
  365       451.9     0.02643    0.003129      0.02956
  366       462.4     0.02646    0.003545         0.03
  367       473.2     0.02649    0.004016       0.0305
  368       484.2     0.02649    0.004548      0.03104
  369       495.5     0.02644    0.005146      0.03159
  370         507     0.02639    0.005815       0.0322
  371       518.8     0.02633    0.006557      0.03289
  372       530.9     0.02628    0.007372      0.03365
  373       543.3     0.02623    0.008256      0.03448
  374       555.9     0.02617    0.009203      0.03538
  375       568.9     0.02612      0.0102      0.03632
  376       582.1     0.02607     0.01124      0.03731
  377       595.7     0.02599     0.01231       0.0383
  378       609.5     0.02588     0.01338      0.03926
  379       623.7     0.02576     0.01445      0.04021
  380       638.3     0.02564     0.01549      0.04113
  381       653.1     0.02552     0.01648        0.042
  382       668.3      0.0254     0.01741      0.04281
  383       683.9     0.02528     0.01825      0.04353
  384       699.8     0.02516     0.01901      0.04417
  385       716.1     0.02504     0.01967      0.04471
  386       732.8      0.0249     0.02024      0.04513
  387       749.9     0.02474     0.02072      0.04546
  388       767.4     0.02458     0.02112       0.0457
  389       785.2     0.02442     0.02146      0.04588
  390       803.5     0.02426     0.02174        0.046
  391       822.2      0.0241     0.02197      0.04607
  392       841.4     0.02394     0.02218      0.04611
  393         861     0.02378     0.02235      0.04613
  394         881     0.02361     0.02251      0.04612
  395       901.6     0.02343     0.02265      0.04609
  396       922.6     0.02325     0.02279      0.04604
  397       944.1     0.02307     0.02293        0.046
  398       966.1     0.02289     0.02306      0.04595
  399       988.6     0.02271     0.02319       0.0459
  400        1012     0.02253     0.02332      0.04585
  401        1035     0.02235     0.02345       0.0458
  402        1059     0.02216     0.02358      0.04575
  403        1084     0.02198     0.02371       0.0457
  404        1109      0.0218     0.02385      0.04564
  405        1135     0.02161     0.02398      0.04559
  406        1161     0.02143      0.0241      0.04553
  407        1189     0.02124     0.02423      0.04547
  408        1216     0.02106     0.02435      0.04541
  409        1245     0.02087     0.02447      0.04534
  410        1274     0.02068     0.02458      0.04526
  411        1303      0.0205     0.02468      0.04519
  412        1334     0.02032     0.02478       0.0451
  413        1365     0.02014     0.02487      0.04501
  414        1396     0.01996     0.02495      0.04491
  415        1429     0.01978     0.02503      0.04481
  416        1462      0.0196     0.02509      0.04469
  417        1496     0.01941     0.02515      0.04456
  418        1531     0.01923      0.0252      0.04443
  419        1567     0.01906     0.02524       0.0443
  420        1603     0.01889     0.02527      0.04416
  421        1641     0.01872     0.02529      0.04401
  422        1679     0.01855     0.02531      0.04385
  423        1718     0.01838     0.02531      0.04369
  424        1758      0.0182     0.02531      0.04351
  425        1799     0.01803      0.0253      0.04333
  426        1841     0.01787     0.02528      0.04315
  427        1884     0.01771     0.02526      0.04297
  428        1928     0.01755     0.02523      0.04277
  429        1972     0.01739     0.02518      0.04257
  430        2018     0.01723     0.02519      0.04242
  431        2065     0.01707     0.02529      0.04235
  432        2113      0.0169     0.02538      0.04228
  433        2163     0.01675     0.02546      0.04222
  434        2213      0.0166     0.02555      0.04215
  435        2265     0.01646     0.02563      0.04209
  436        2317     0.01631     0.02571      0.04202
  437        2371     0.01616     0.02579      0.04195
  438        2427     0.01601     0.02586      0.04187
  439        2483     0.01586     0.02594       0.0418
  440        2541     0.01572     0.02601      0.04173
  441        2600     0.01558     0.02607      0.04166
  442        2661     0.01545     0.02614      0.04159
  443        2723     0.01531      0.0262      0.04151
  444        2786     0.01517     0.02627      0.04144
  445        2851     0.01504     0.02632      0.04136
  446        2917      0.0149     0.02638      0.04128
  447        2985     0.01477     0.02644      0.04121
  448        3055     0.01465     0.02649      0.04114
  449        3126     0.01452     0.02654      0.04106
  450        3199      0.0144     0.02659      0.04099
  451        3273     0.01427     0.02664      0.04091
  452        3350     0.01414     0.02669      0.04083
  453        3428     0.01402     0.02673      0.04075
  454        3508      0.0139     0.02678      0.04068
  455        3589     0.01379     0.02682      0.04061
  456        3673     0.01367     0.02686      0.04053
  457        3758     0.01356      0.0269      0.04046
  458        3846     0.01344     0.02693      0.04038
  459        3936     0.01333     0.02697       0.0403
  460        4027     0.01322     0.02701      0.04022
  461        4121     0.01311     0.02704      0.04015
  462        4217     0.01301     0.02707      0.04008
  463        4315      0.0129      0.0271      0.04001
  464        4416      0.0128     0.02713      0.03993
  465        4519     0.01269     0.02716      0.03985
  466        4624     0.01259     0.02719      0.03977
  467        4732     0.01249     0.02721      0.03971
  468        4842      0.0124     0.02724      0.03963
  469        4955      0.0123     0.02726      0.03956
  470        5070      0.0122     0.02729      0.03949
  471        5188     0.01211     0.02731      0.03942
  472        5309     0.01201     0.02733      0.03934
  473        5433     0.01192     0.02735      0.03927
  474        5559     0.01183     0.02737       0.0392
  475        5689     0.01175     0.02739      0.03913
  476        5821     0.01166      0.0274      0.03906
  477        5957     0.01157     0.02742      0.03899
  478        6095     0.01148     0.02744      0.03892
  479        6237      0.0114     0.02745      0.03885
  480        6383     0.01132     0.02747      0.03878
  481        6531     0.01124     0.02748      0.03872
  482        6683     0.01116     0.02749      0.03865
  483        6839     0.01108     0.02751      0.03858
  484        6998     0.01099     0.02752      0.03851
  485        7161     0.01092     0.02753      0.03845
  486        7328     0.01084     0.02754      0.03838
  487        7499     0.01077     0.02755      0.03832
  488        7674      0.0107     0.02756      0.03826
  489        7852     0.01062     0.02757      0.03819
  490        8035     0.01055     0.02758      0.03813
  491        8222     0.01048     0.02759      0.03806
  492        8414     0.01041      0.0276      0.03801
  493        8610     0.01034      0.0276      0.03795
  494        8810     0.01027     0.02761      0.03789
  495        9016     0.01021     0.02762      0.03783
  496        9226     0.01014     0.02762      0.03776
  497        9441     0.01007     0.02763       0.0377
  498        9661     0.01001     0.02764      0.03765
  499        9886    0.009951     0.02764      0.03759
  500   1.012e+04     0.00989     0.02765      0.03754
  501   1.035e+04    0.009828     0.02765      0.03748
  502   1.059e+04    0.009766     0.02766      0.03742
  503   1.084e+04    0.009706     0.02766      0.03737
  504   1.109e+04     0.00965     0.02766      0.03731
  505   1.135e+04    0.009594     0.02767      0.03726
