
-------------------------------G4_H
-------------------------------kaon-
### Fill Cross Sections for kaon- off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  396       922.6     0.01098     0.01762      0.02859
  397       944.1     0.01054     0.01749      0.02804
  398       966.1      0.0101     0.01739      0.02749
  399       988.6    0.009646     0.01731      0.02695
  400        1012     0.00938     0.01724      0.02662
  401        1035    0.009131     0.01718      0.02632
  402        1059    0.008876     0.01714      0.02602
  403        1084    0.008616     0.01711      0.02573
  404        1109    0.008575     0.01709      0.02567
  405        1135    0.008548     0.01708      0.02562
  406        1161     0.00852     0.01707      0.02559
  407        1189    0.008492     0.01707      0.02556
  408        1216    0.008463     0.01707      0.02554
  409        1245    0.008433     0.01708      0.02552
  410        1274    0.008403     0.01709       0.0255
  411        1303    0.008372     0.01711      0.02548
  412        1334    0.008341     0.01713      0.02547
  413        1365    0.008309     0.01715      0.02545
  414        1396    0.008214     0.01717      0.02538
  415        1429    0.008097     0.01719      0.02529
  416        1462    0.007976     0.01721      0.02519
  417        1496    0.007853     0.01724      0.02509
  418        1531    0.007727     0.01726      0.02499
  419        1567    0.007599     0.01729      0.02488
  420        1603    0.007486     0.01731       0.0248
  421        1641    0.007371     0.01733      0.02471
  422        1679    0.007253     0.01736      0.02461
  423        1718    0.007133     0.01738      0.02452
  424        1758     0.00701     0.01741      0.02442
  425        1799    0.006884     0.01743      0.02431
  426        1841    0.006755     0.01745      0.02421
  427        1884    0.006623     0.01748       0.0241
  428        1928    0.006489      0.0175      0.02399
  429        1972     0.00636     0.01752      0.02388
  430        2018    0.006242     0.01754      0.02378
  431        2065    0.006123     0.01756      0.02368
  432        2113       0.006     0.01758      0.02358
  433        2163     0.00588     0.01759      0.02347
  434        2213    0.005777     0.01761      0.02339
  435        2265    0.005672     0.01763       0.0233
  436        2317    0.005565     0.01764      0.02321
  437        2371    0.005478     0.01766      0.02313
  438        2427    0.005422     0.01767      0.02309
  439        2483    0.005364     0.01768      0.02305
  440        2541    0.005306     0.01769        0.023
  441        2600    0.005251     0.01771      0.02296
  442        2661    0.005196     0.01772      0.02291
  443        2723     0.00514     0.01773      0.02287
  444        2786    0.005082     0.01773      0.02282
  445        2851    0.005023     0.01774      0.02277
  446        2917    0.004962     0.01775      0.02271
  447        2985    0.004901     0.01776      0.02266
  448        3055    0.004837     0.01776       0.0226
  449        3126    0.004773     0.01777      0.02254
  450        3199    0.004707     0.01777      0.02248
  451        3273    0.004639     0.01778      0.02242
  452        3350     0.00457     0.01778      0.02235
  453        3428    0.004499     0.01778      0.02228
  454        3508    0.004426     0.01779      0.02221
  455        3589    0.004384     0.01779      0.02217
  456        3673    0.004359     0.01779      0.02215
  457        3758    0.004333     0.01779      0.02212
  458        3846    0.004307     0.01779       0.0221
  459        3936     0.00428     0.01779      0.02207
  460        4027    0.004252     0.01779      0.02204
  461        4121    0.004224     0.01779      0.02201
  462        4217    0.004195     0.01778      0.02198
  463        4315    0.004165     0.01778      0.02195
  464        4416    0.004135     0.01778      0.02191
  465        4519    0.004104     0.01778      0.02188
  466        4624    0.004081     0.01777      0.02185
  467        4732     0.00406     0.01777      0.02183
  468        4842    0.004037     0.01776       0.0218
  469        4955    0.004015     0.01776      0.02178
  470        5070    0.003992     0.01776      0.02175
  471        5188    0.003968     0.01775      0.02172
  472        5309    0.003944     0.01775      0.02169
  473        5433    0.003919     0.01774      0.02166
  474        5559    0.003897     0.01773      0.02163
  475        5689    0.003884     0.01773      0.02161
  476        5821     0.00387     0.01772      0.02159
  477        5957    0.003857     0.01772      0.02157
  478        6095    0.003843     0.01771      0.02155
  479        6237    0.003829      0.0177      0.02153
  480        6383    0.003814     0.01769      0.02151
  481        6531    0.003799     0.01769      0.02149
  482        6683    0.003784     0.01768      0.02146
  483        6839    0.003768     0.01767      0.02144
  484        6998    0.003752     0.01767      0.02142
  485        7161    0.003736     0.01766      0.02139
  486        7328    0.003719     0.01765      0.02137
  487        7499    0.003702     0.01764      0.02134
  488        7674     0.00367     0.01763       0.0213
  489        7852    0.003634     0.01763      0.02126
  490        8035    0.003597     0.01762      0.02122
  491        8222     0.00356     0.01761      0.02117
  492        8414    0.003521      0.0176      0.02112
  493        8610    0.003482     0.01759      0.02108
  494        8810    0.003442     0.01759      0.02103
  495        9016    0.003401     0.01758      0.02098
  496        9226    0.003359     0.01757      0.02093
  497        9441    0.003316     0.01756      0.02088
  498        9661     0.00329     0.01755      0.02084
  499        9886    0.003274     0.01755      0.02082
  500   1.012e+04    0.003258     0.01754       0.0208
  501   1.035e+04    0.003242     0.01753      0.02077
  502   1.059e+04    0.003225     0.01752      0.02075
  503   1.084e+04    0.003207     0.01751      0.02072
  504   1.109e+04     0.00319     0.01751       0.0207
  505   1.135e+04    0.003172      0.0175      0.02067
  506   1.161e+04    0.003153     0.01749      0.02064
  507   1.189e+04    0.003134     0.01748      0.02062
  508   1.216e+04    0.003115     0.01748      0.02059
  509   1.245e+04    0.003095     0.01747      0.02056
  510   1.274e+04    0.003075     0.01746      0.02054
  511   1.303e+04    0.003054     0.01745      0.02051
  512   1.334e+04    0.003033     0.01745      0.02048
  513   1.365e+04    0.003011     0.01744      0.02045
  514   1.396e+04    0.002989     0.01743      0.02042
  515   1.429e+04    0.002966     0.01743      0.02039
  516   1.462e+04    0.002942     0.01742      0.02036
  517   1.496e+04    0.002919     0.01741      0.02033
  518   1.531e+04    0.002894     0.01741       0.0203
  519   1.567e+04    0.002869      0.0174      0.02027
  520   1.603e+04    0.002844     0.01739      0.02024
  521   1.641e+04    0.002818     0.01739       0.0202
  522   1.679e+04    0.002791     0.01738      0.02017
  523   1.718e+04    0.002763     0.01738      0.02014
  524   1.758e+04    0.002735     0.01737       0.0201
  525   1.799e+04    0.002707     0.01736      0.02007
  526   1.841e+04    0.002677     0.01736      0.02004
  527   1.884e+04    0.002647     0.01735         0.02
  528   1.928e+04    0.002617     0.01735      0.01996
  529   1.972e+04      0.0026     0.01734      0.01994
  530   2.018e+04    0.002599     0.01734      0.01994
  531   2.065e+04    0.002599     0.01733      0.01993
  532   2.113e+04    0.002598     0.01733      0.01993
  533   2.163e+04    0.002597     0.01733      0.01992
  534   2.213e+04    0.002597     0.01732      0.01992
  535   2.265e+04    0.002596     0.01732      0.01991
  536   2.317e+04    0.002595     0.01731      0.01991
  537   2.371e+04    0.002595     0.01731       0.0199
  538   2.427e+04    0.002594     0.01731       0.0199
  539   2.483e+04    0.002593      0.0173       0.0199
  540   2.541e+04    0.002593      0.0173      0.01989
  541     2.6e+04    0.002592      0.0173      0.01989
  542   2.661e+04    0.002591      0.0173      0.01989
  543   2.723e+04     0.00259     0.01729      0.01988
  544   2.786e+04     0.00259     0.01729      0.01988
  545   2.851e+04    0.002589     0.01729      0.01988
  546   2.917e+04    0.002588     0.01729      0.01987
  547   2.985e+04    0.002587     0.01729      0.01987
  548   3.055e+04    0.002586     0.01728      0.01987
  549   3.126e+04    0.002585     0.01728      0.01987
  550   3.199e+04    0.002584     0.01728      0.01987
  551   3.273e+04    0.002583     0.01728      0.01986
  552    3.35e+04    0.002583     0.01728      0.01986
  553   3.428e+04    0.002582     0.01728      0.01986
  554   3.508e+04    0.002581     0.01728      0.01986
  555   3.589e+04     0.00258     0.01728      0.01986
  556   3.673e+04    0.002578     0.01728      0.01986
  557   3.758e+04    0.002577     0.01728      0.01986
  558   3.846e+04    0.002576     0.01728      0.01986
  559   3.936e+04    0.002575     0.01728      0.01986
  560   4.027e+04    0.002574     0.01728      0.01986
  561   4.121e+04    0.002573     0.01728      0.01986
  562   4.217e+04    0.002572     0.01728      0.01986
  563   4.315e+04     0.00257     0.01729      0.01986
  564   4.416e+04    0.002569     0.01729      0.01986
  565   4.519e+04    0.002568     0.01729      0.01986
  566   4.624e+04    0.002567     0.01729      0.01986
  567   4.732e+04    0.002565      0.0173      0.01986
  568   4.842e+04    0.002564      0.0173      0.01986
  569   4.955e+04    0.002562      0.0173      0.01986
  570    5.07e+04    0.002561      0.0173      0.01987
  571   5.188e+04     0.00256     0.01731      0.01987
  572   5.309e+04    0.002558     0.01731      0.01987
  573   5.433e+04    0.002556     0.01731      0.01987
  574   5.559e+04    0.002555     0.01732      0.01987
  575   5.689e+04    0.002553     0.01732      0.01988
  576   5.821e+04    0.002552     0.01733      0.01988
  577   5.957e+04     0.00255     0.01733      0.01988
  578   6.095e+04    0.002548     0.01734      0.01989
  579   6.237e+04    0.002546     0.01734      0.01989
  580   6.383e+04    0.002545     0.01735      0.01989
  581   6.531e+04    0.002543     0.01735       0.0199
  582   6.683e+04    0.002541     0.01736       0.0199
  583   6.839e+04    0.002539     0.01737       0.0199
  584   6.998e+04    0.002537     0.01737      0.01991
  585   7.161e+04    0.002535     0.01738      0.01991
  586   7.328e+04    0.002533     0.01738      0.01992
  587   7.499e+04    0.002531     0.01739      0.01992
  588   7.674e+04    0.002528      0.0174      0.01993
  589   7.852e+04    0.002526     0.01741      0.01993
  590   8.035e+04    0.002524     0.01741      0.01994
  591   8.222e+04    0.002522     0.01742      0.01994
  592   8.414e+04    0.002519     0.01743      0.01995
  593    8.61e+04    0.002517     0.01744      0.01995
  594    8.81e+04    0.002514     0.01745      0.01996
  595   9.016e+04    0.002512     0.01746      0.01997
  596   9.226e+04    0.002509     0.01746      0.01997
  597   9.441e+04    0.002506     0.01747      0.01998
  598   9.661e+04    0.002504     0.01748      0.01999
  599   9.886e+04    0.002501     0.01749      0.01999
  600   1.012e+05    0.002505      0.0175      0.02001
  601   1.035e+05    0.002513     0.01751      0.02003
  602   1.059e+05     0.00252     0.01752      0.02004
  603   1.084e+05    0.002528     0.01753      0.02006
  604   1.109e+05    0.002536     0.01754      0.02008
  605   1.135e+05    0.002543     0.01756       0.0201
  606   1.161e+05    0.002551     0.01757      0.02012
  607   1.189e+05    0.002559     0.01758      0.02014
  608   1.216e+05    0.002567     0.01759      0.02016
  609   1.245e+05    0.002575      0.0176      0.02018
  610   1.274e+05    0.002583     0.01761       0.0202
  611   1.303e+05    0.002591     0.01763      0.02022
  612   1.334e+05    0.002599     0.01764      0.02024
  613   1.365e+05    0.002607     0.01765      0.02026
  614   1.396e+05    0.002615     0.01767      0.02028
  615   1.429e+05    0.002623     0.01768       0.0203
  616   1.462e+05    0.002631     0.01769      0.02032
  617   1.496e+05    0.002639     0.01771      0.02035
  618   1.531e+05    0.002648     0.01772      0.02037
  619   1.567e+05    0.002656     0.01773      0.02039
  620   1.603e+05    0.002664     0.01775      0.02041
  621   1.641e+05    0.002673     0.01776      0.02044
  622   1.679e+05    0.002682     0.01778      0.02046
  623   1.718e+05     0.00269     0.01779      0.02048
  624   1.758e+05    0.002699     0.01781      0.02051
  625   1.799e+05    0.002708     0.01782      0.02053
  626   1.841e+05    0.002716     0.01784      0.02056
  627   1.884e+05    0.002725     0.01786      0.02058
  628   1.928e+05    0.002734     0.01787      0.02061
  629   1.972e+05    0.002743     0.01789      0.02063
  630   2.018e+05    0.002752     0.01791      0.02066
  631   2.065e+05    0.002762     0.01792      0.02069
  632   2.113e+05    0.002771     0.01794      0.02071
  633   2.163e+05     0.00278     0.01796      0.02074
  634   2.213e+05     0.00279     0.01798      0.02077
  635   2.265e+05    0.002799     0.01799      0.02079
  636   2.317e+05    0.002809     0.01801      0.02082
  637   2.371e+05    0.002819     0.01803      0.02085
  638   2.427e+05    0.002828     0.01805      0.02088
  639   2.483e+05    0.002838     0.01807      0.02091
  640   2.541e+05    0.002848     0.01809      0.02094
  641     2.6e+05    0.002858     0.01811      0.02097
  642   2.661e+05    0.002869     0.01813      0.02099
  643   2.723e+05    0.002879     0.01815      0.02103
  644   2.786e+05    0.002889     0.01817      0.02106
  645   2.851e+05      0.0029     0.01819      0.02109
  646   2.917e+05     0.00291     0.01821      0.02112
  647   2.985e+05    0.002921     0.01823      0.02115
  648   3.055e+05    0.002932     0.01825      0.02118
