-------------------------------G4_H
-------------------------------neutron
### Fill Cross Sections for neutron off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  477        5957     0.02109     0.02909      0.05017
  478        6095     0.02107     0.02907      0.05014
  479        6237     0.02105     0.02906      0.05012
  480        6383     0.02104     0.02905      0.05009
  481        6531     0.02102     0.02903      0.05005
  482        6683       0.021     0.02902      0.05002
  483        6839     0.02099     0.02901      0.04999
  484        6998     0.02097     0.02899      0.04996
  485        7161     0.02095     0.02898      0.04993
  486        7328     0.02094     0.02896       0.0499
  487        7499     0.02093     0.02895      0.04988
  488        7674     0.02091     0.02894      0.04985
  489        7852      0.0209     0.02892      0.04982
  490        8035     0.02088     0.02891      0.04979
  491        8222     0.02086      0.0289      0.04976
  492        8414     0.02085     0.02888      0.04973
  493        8610     0.02083     0.02887       0.0497
  494        8810     0.02082     0.02886      0.04967
  495        9016     0.02081     0.02884      0.04965
  496        9226     0.02079     0.02883      0.04962
  497        9441     0.02078     0.02882      0.04959
  498        9661     0.02076      0.0288      0.04957
  499        9886     0.02075     0.02879      0.04954
  500   1.012e+04     0.02074     0.02878      0.04951
  501   1.035e+04     0.02072     0.02876      0.04949
  502   1.059e+04     0.02071     0.02875      0.04946
  503   1.084e+04     0.02069     0.02874      0.04943
  504   1.109e+04     0.02068     0.02873      0.04941
  505   1.135e+04     0.02067     0.02871      0.04939
  506   1.161e+04     0.02066      0.0287      0.04936
  507   1.189e+04     0.02065     0.02869      0.04934
  508   1.216e+04     0.02064     0.02868      0.04931
  509   1.245e+04     0.02062     0.02867      0.04929
  510   1.274e+04     0.02061     0.02865      0.04927
  511   1.303e+04      0.0206     0.02864      0.04924
  512   1.334e+04     0.02059     0.02863      0.04922
  513   1.365e+04     0.02058     0.02862       0.0492
  514   1.396e+04     0.02057     0.02861      0.04918
  515   1.429e+04     0.02056      0.0286      0.04916
  516   1.462e+04     0.02055     0.02859      0.04914
  517   1.496e+04     0.02054     0.02858      0.04912
  518   1.531e+04     0.02053     0.02857       0.0491
  519   1.567e+04     0.02052     0.02856      0.04908
  520   1.603e+04     0.02051     0.02855      0.04905
  521   1.641e+04      0.0205     0.02854      0.04904
  522   1.679e+04     0.02049     0.02853      0.04902
  523   1.718e+04     0.02048     0.02852        0.049
  524   1.758e+04     0.02047     0.02851      0.04899
  525   1.799e+04     0.02046      0.0285      0.04897
  526   1.841e+04     0.02046      0.0285      0.04895
  527   1.884e+04     0.02045     0.02849      0.04894
  528   1.928e+04     0.02044     0.02848      0.04892
  529   1.972e+04     0.02043     0.02847       0.0489
  530   2.018e+04     0.02042     0.02846      0.04889
  531   2.065e+04     0.02041     0.02846      0.04887
  532   2.113e+04     0.02041     0.02845      0.04885
  533   2.163e+04      0.0204     0.02844      0.04884
  534   2.213e+04      0.0204     0.02843      0.04882
  535   2.265e+04     0.02039     0.02842      0.04881
  536   2.317e+04     0.02038     0.02841      0.04879
  537   2.371e+04     0.02038      0.0284      0.04878
  538   2.427e+04     0.02037      0.0284      0.04877
  539   2.483e+04     0.02037     0.02839      0.04876
  540   2.541e+04     0.02036     0.02838      0.04874
  541     2.6e+04     0.02036     0.02838      0.04873
  542   2.661e+04     0.02035     0.02837      0.04872
  543   2.723e+04     0.02035     0.02836      0.04871
  544   2.786e+04     0.02034     0.02836       0.0487
  545   2.851e+04     0.02034     0.02835      0.04869
  546   2.917e+04     0.02034     0.02835      0.04868
  547   2.985e+04     0.02033     0.02834      0.04868
  548   3.055e+04     0.02033     0.02834      0.04867
  549   3.126e+04     0.02033     0.02833      0.04866
  550   3.199e+04     0.02033     0.02833      0.04866
  551   3.273e+04     0.02032     0.02833      0.04865
  552    3.35e+04     0.02032     0.02832      0.04865
  553   3.428e+04     0.02032     0.02832      0.04864
  554   3.508e+04     0.02032     0.02832      0.04864
  555   3.589e+04     0.02032     0.02832      0.04863
  556   3.673e+04     0.02032     0.02832      0.04863
  557   3.758e+04     0.02031     0.02831      0.04863
  558   3.846e+04     0.02031     0.02831      0.04863
  559   3.936e+04     0.02031     0.02831      0.04863
  560   4.027e+04     0.02031     0.02831      0.04863
  561   4.121e+04     0.02031     0.02831      0.04863
  562   4.217e+04     0.02031     0.02831      0.04863
  563   4.315e+04     0.02031     0.02831      0.04863
  564   4.416e+04     0.02031     0.02832      0.04863
  565   4.519e+04     0.02032     0.02832      0.04863
  566   4.624e+04     0.02032     0.02832      0.04863
  567   4.732e+04     0.02032     0.02832      0.04864
  568   4.842e+04     0.02032     0.02832      0.04864
  569   4.955e+04     0.02032     0.02833      0.04865
  570    5.07e+04     0.02032     0.02833      0.04865
  571   5.188e+04     0.02033     0.02833      0.04866
  572   5.309e+04     0.02033     0.02834      0.04866
  573   5.433e+04     0.02033     0.02834      0.04867
  574   5.559e+04     0.02033     0.02834      0.04868
  575   5.689e+04     0.02034     0.02835      0.04869
  576   5.821e+04     0.02034     0.02835      0.04869
  577   5.957e+04     0.02035     0.02836       0.0487
  578   6.095e+04     0.02035     0.02836      0.04871
  579   6.237e+04     0.02035     0.02837      0.04872
  580   6.383e+04     0.02036     0.02838      0.04873
  581   6.531e+04     0.02036     0.02838      0.04875
  582   6.683e+04     0.02037     0.02839      0.04876
  583   6.839e+04     0.02037      0.0284      0.04877
  584   6.998e+04     0.02038      0.0284      0.04878
  585   7.161e+04     0.02038     0.02841       0.0488
  586   7.328e+04     0.02039     0.02842      0.04881
  587   7.499e+04      0.0204     0.02843      0.04883
  588   7.674e+04      0.0204     0.02844      0.04884
  589   7.852e+04     0.02041     0.02845      0.04886
  590   8.035e+04     0.02042     0.02846      0.04887
  591   8.222e+04     0.02042     0.02847      0.04889
  592   8.414e+04     0.02043     0.02848      0.04891
  593    8.61e+04     0.02044     0.02849      0.04893
  594    8.81e+04     0.02045      0.0285      0.04894
  595   9.016e+04     0.02045     0.02851      0.04896
  596   9.226e+04     0.02046     0.02852      0.04898
  597   9.441e+04     0.02047     0.02853        0.049
  598   9.661e+04     0.02048     0.02854      0.04902
  599   9.886e+04     0.02049     0.02856      0.04904
  600   1.012e+05      0.0205     0.02857      0.04907
  601   1.035e+05     0.02051     0.02858      0.04909
  602   1.059e+05     0.02052      0.0286      0.04911
  603   1.084e+05     0.02053     0.02861      0.04914
  604   1.109e+05     0.02054     0.02862      0.04916
  605   1.135e+05     0.02055     0.02864      0.04918
  606   1.161e+05     0.02056     0.02865      0.04921
  607   1.189e+05     0.02057     0.02867      0.04923
  608   1.216e+05     0.02058     0.02868      0.04926
  609   1.245e+05     0.02059      0.0287      0.04929
  610   1.274e+05      0.0206     0.02871      0.04931
  611   1.303e+05     0.02061     0.02873      0.04934
  612   1.334e+05     0.02062     0.02875      0.04937
  613   1.365e+05     0.02064     0.02876       0.0494
  614   1.396e+05     0.02065     0.02878      0.04943
  615   1.429e+05     0.02066      0.0288      0.04946
  616   1.462e+05     0.02067     0.02882      0.04949
  617   1.496e+05     0.02069     0.02883      0.04952
  618   1.531e+05      0.0207     0.02885      0.04955
  619   1.567e+05     0.02071     0.02887      0.04958
  620   1.603e+05     0.02073     0.02889      0.04962
  621   1.641e+05     0.02074     0.02891      0.04965
  622   1.679e+05     0.02075     0.02893      0.04968
  623   1.718e+05     0.02077     0.02895      0.04972
  624   1.758e+05     0.02078     0.02897      0.04975
  625   1.799e+05      0.0208     0.02899      0.04979
  626   1.841e+05     0.02081     0.02901      0.04982
  627   1.884e+05     0.02083     0.02903      0.04986
  628   1.928e+05     0.02084     0.02905       0.0499
  629   1.972e+05     0.02086     0.02907      0.04993
  630   2.018e+05     0.02087      0.0291      0.04997
  631   2.065e+05     0.02089     0.02912      0.05001
  632   2.113e+05     0.02091     0.02914      0.05005
  633   2.163e+05     0.02092     0.02916      0.05009
  634   2.213e+05     0.02094     0.02919      0.05013
  635   2.265e+05     0.02096     0.02921      0.05017
  636   2.317e+05     0.02097     0.02923      0.05021
  637   2.371e+05     0.02099     0.02926      0.05025
  638   2.427e+05     0.02101     0.02928      0.05029
  639   2.483e+05     0.02103     0.02931      0.05033
  640   2.541e+05     0.02104     0.02933      0.05038
  641     2.6e+05     0.02106     0.02936      0.05042
  642   2.661e+05     0.02108     0.02938      0.05046
  643   2.723e+05      0.0211     0.02941      0.05051
  644   2.786e+05     0.02112     0.02944      0.05055
  645   2.851e+05     0.02114     0.02946       0.0506
  646   2.917e+05     0.02116     0.02949      0.05064
  647   2.985e+05     0.02118     0.02952      0.05069
  648   3.055e+05      0.0212     0.02954      0.05074
  649   3.126e+05     0.02122     0.02957      0.05079
  650   3.199e+05     0.02124      0.0296      0.05083
  651   3.273e+05     0.02126     0.02963      0.05088
  652    3.35e+05     0.02128     0.02966      0.05093
  653   3.428e+05      0.0213     0.02968      0.05098
  654   3.508e+05     0.02132     0.02971      0.05103
  655   3.589e+05     0.02134     0.02974      0.05108
  656   3.673e+05     0.02136     0.02977      0.05113
  657   3.758e+05     0.02138      0.0298      0.05118
