# FILE_NAME
# REACTION
# BEAM_MASS TARGET_MASS THRESHOLD FINAL_STATE_MULTIPLICITY
# NUMBER_OF_DATA_POINTS
# POINT_NUMBER PLAB(GEV/C) PLAB_MIN PLAB_MAX SIG(MB) STA_ERR+ STA_ERR- SY_ER+(PCT) SY_ER-(PCT) REFERENCE FLAG
#  FORMAT(I5,1X,4F11.5,2F8.4,1X,2F6.1,A)
# -------------------------------------------------------------------------------------------------------
# KMP_ELASTIC.DAT
# K- P --> P K-
# 0.493680    0.938270      0.            2
# 312
 81   0.43500    0.43500    0.43500    26.830     1.7900  1.7900     0.0  0.0  MAST 76          PR D14, 13
 82   0.43600    0.42850    0.44350    25.800     2.0000  2.0000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 83   0.44500    0.44500    0.44500    28.830     2.2100  2.2100     0.0  0.0  MAST 76          PR D14, 13
 84   0.45500    0.44750    0.46250    23.800     1.7000  1.7000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 85   0.45500    0.45500    0.45500    30.320     3.1600  3.1600     0.0  0.0  MAST 76          PR D14, 13
 86   0.46500    0.46500    0.46500    31.990     5.9200  5.9200     0.0  0.0  MAST 76          PR D14, 13
 87   0.47500    0.46750    0.48250    23.100     1.4000  1.4000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 88   0.49500    0.48750    0.50250    21.500     1.3000  1.3000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 89   0.51300    0.49300    0.53300    26.500     3.3000  3.3000     0.0  0.0  WATSON 63        PR 131, 2248
 90   0.51300    0.49291    0.53305    27.600     3.7000  3.7000     0.0  0.0  FERROLUZZI 62    PRL 8, 28
 91   0.51400    0.50650    0.52150    21.700     1.4000  1.4000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 92   0.52228    0.41304    0.62146    35.000     16.000  16.000     0.0  0.0  FREDEN 60        PR 118, 564
 93   0.53400    0.52650    0.54150    19.300     1.3000  1.3000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 94   0.55400    0.54650    0.56150    19.100     1.2000  1.2000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 95   0.57300    0.56550    0.58050    17.500     1.1000  1.1000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 96   0.59700    0.58950    0.60450    17.700     1.1000  1.1000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 97   0.61000    0.61000    0.61000    17.660     1.0000  1.0000     0.0  0.0  ADAMS 75         NP B96, 54
 98   0.61700    0.60950    0.62450    18.600     1.1000  1.1000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 99   0.62004    0.60502    0.63497    16.000     1.0000  1.0000     0.0  0.0  BASTIEN 63       PRL 10, 188
 100  0.63700    0.62950    0.64450    16.000     1.0000  1.0000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 101  0.64200    0.64200    0.64200    17.230     0.96000 0.96000    0.0  0.0  ADAMS 75         NP B96, 54
 102  0.65800    0.65050    0.66550    16.400     1.0000  1.0000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 103  0.66000    0.65340    0.66660    12.100     2.0000  2.0000     0.0  0.0  HOLLEY 67        PR 154, 1273
 104  0.67200    0.67200    0.67200    16.220     0.92000 0.92000    0.0  0.0  ADAMS 75         NP B96, 54
 105  0.67700    0.66950    0.68450    15.600     1.0000  1.0000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 106  0.69900    0.69150    0.70650    15.200     1.0000  1.0000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 107  0.70000    0.69300    0.70700    14.200     2.1000  2.1000     0.0  0.0  HOLLEY 67        PR 154, 1273
 108  0.70300    0.70300    0.70300    15.220     0.86000 0.86000    0.0  0.0  ADAMS 75         NP B96, 54
 109  0.70800    0.70092    0.71508    13.500     0.90000 0.90000    0.0  0.0  BERTANZA 69      PR 177, 2036
 110  0.71900    0.71150    0.72650    14.200     1.0000  1.0000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 111  0.72500    0.71775    0.73225    11.500     0.80000 0.80000    0.0  0.0  BERTANZA 69      PR 177, 2036
 112  0.73000    0.73000    0.73000    14.070     0.70000 0.70000    0.0  0.0  ADAMS 75         NP B96, 54
 113  0.74000    0.73250    0.74750    15.900     1.1000  1.1000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 114  0.74000    0.73260    0.74740    14.000     2.1000  2.1000     0.0  0.0  HOLLEY 67        PR 154, 1273
 115  0.74100    0.73359    0.74841    11.600     0.70000 0.70000    0.0  0.0  BERTANZA 69      PR 177, 2036
 116  0.75800    0.75800    0.75800    16.930     0.98000 0.98000    0.0  0.0  ADAMS 75         NP B96, 54
 117  0.75996    0.75291    0.76701    16.700     1.0000  1.0000     0.0  0.0  BASTIEN 63       PRL 10, 188
 118  0.76100    0.75350    0.76850    17.300     1.1000  1.1000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 119  0.76800    0.76032    0.77568    15.200     1.0000  1.0000     0.0  0.0  BERTANZA 69      PR 177, 2036
 120  0.77300    0.76550    0.78050    18.600     1.6000  1.6000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 121  0.77700    0.75700    0.79700    18.300     0.80000 0.80000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 122  0.77700    0.77700    0.77700    18.700     0.79000 0.79000    0.0  0.0  CONFORTO 71      NP B34, 41
 123  0.78000    0.77220    0.78780    17.900     2.6000  2.6000     0.0  0.0  HOLLEY 67        PR 154, 1273
 124  0.78500    0.78500    0.78500    19.370     1.0900  1.0900     0.0  0.0  ADAMS 75         NP B96, 54
 125  0.79300    0.78550    0.80050    20.500     1.2000  1.2000     0.0  0.0  ARMENTEROS 70B   NP B21, 15
 126  0.80200    0.79398    0.81002    19.300     1.3000  1.3000     0.0  0.0  BERTANZA 69      PR 177, 2036
 127  0.80600    0.78600    0.82600    20.000     1.0100  1.0100     0.0  0.0  ARMENTEROS 68    NP B8, 233
 128  0.80600    0.80600    0.80600    20.450     0.95000 0.95000    0.0  0.0  CONFORTO 71      NP B34, 41
 129  0.81000    0.81000    0.81000    20.670     1.1300  1.1300     0.0  0.0  ADAMS 75         NP B96, 54
 130  0.82000    0.82000    0.82000    18.700     0.70000 0.70000    0.0  0.0  SODICKSON 64     PR 133, B757
 131  0.82000    0.81180    0.82820    19.300     2.8000  2.8000     0.0  0.0  HOLLEY 67        PR 154, 1273
 132  0.83300    0.83300    0.83300    19.630     1.0800  1.0800     0.0  0.0  ADAMS 75         NP B96, 54
 133  0.83800    0.81800    0.85800    19.800     0.95000 0.95000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 134  0.83800    0.83800    0.83800    19.530     0.94000 0.94000    0.0  0.0  CONFORTO 71      NP B34, 41
 135  0.84999    0.84001    0.85997    22.400     2.0000  2.0000     0.0  0.0  BASTIEN 63       PRL 10, 188
 136  0.85300    0.83300    0.87300    19.100     0.80000 0.80000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 137  0.85300    0.85300    0.85300    19.390     0.79000 0.79000    0.0  0.0  CONFORTO 71      NP B34, 41
 138  0.85600    0.85600    0.85600    19.780     1.0900  1.0900     0.0  0.0  ADAMS 75         NP B96, 54
 139  0.86000    0.85140    0.86860    19.500     2.8000  2.8000     0.0  0.0  HOLLEY 67        PR 154, 1273
 140  0.87000    0.87000    0.87000    21.360     0.84000 0.84000    0.0  0.0  CAMERON 80       NP B193, 21
 141  0.87400    0.85400    0.89400    20.100     0.79000 0.79000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 142  0.87400    0.87400    0.87400    20.310     0.77000 0.77000    0.0  0.0  CONFORTO 71      NP B34, 41
 143  0.87600    0.87600    0.87600    21.070     1.1600  1.1600     0.0  0.0  ADAMS 75         NP B96, 54
 144  0.89400    0.87400    0.91400    21.600     0.88000 0.88000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 145  0.89400    0.89400    0.89400    21.660     0.85000 0.85000    0.0  0.0  CONFORTO 71      NP B34, 41
 146  0.89900    0.89900    0.89900    22.020     1.2000  1.2000     0.0  0.0  ADAMS 75         NP B96, 54
 147  0.90000    0.89100    0.90900    21.500     3.2000  3.2000     0.0  0.0  HOLLEY 67        PR 154, 1273
 148  0.90400    0.88400    0.92400    20.900     0.86000 0.86000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 149  0.90400    0.90400    0.90400    20.710     0.82000 0.82000    0.0  0.0  CONFORTO 71      NP B34, 41
 150  0.90500    0.90500    0.90500    21.340     0.79000 0.79000    0.0  0.0  CAMERON 80       NP B193, 21
 151  0.91600    0.91600    0.91600    20.850     0.82000 0.82000    0.0  0.0  CONFORTO 71      NP B34, 41
 152  0.91600    0.89600    0.93600    20.400     0.96000 0.96000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 153  0.92200    0.92200    0.92200    22.340     1.2500  1.2500     0.0  0.0  ADAMS 75         NP B96, 54
 154  0.92500    0.92500    0.92500    20.940     0.84000 0.84000    0.0  0.0  CAMERON 80       NP B193, 21
 155  0.93500    0.93500    0.93500    20.120     0.76000 0.76000    0.0  0.0  CONFORTO 71      NP B34, 41
 156  0.93500    0.91500    0.95500    20.100     0.80000 0.80000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 157  0.93500    0.93500    0.93500    19.980     0.53000 0.53000    0.0  0.0  CAMERON 80       NP B193, 21
 158  0.94000    0.93060    0.94940    21.800     3.2000  3.2000     0.0  0.0  HOLLEY 67        PR 154, 1273
 159  0.94300    0.94300    0.94300    21.010     1.1000  1.1000     0.0  0.0  ADAMS 75         NP B96, 54
 160  0.94500    0.94500    0.94500    19.330     0.43000 0.43000    0.0  0.0  CAMERON 80       NP B193, 21
 161  0.95400    0.95400    0.95400    20.640     0.86000 0.86000    0.0  0.0  CONFORTO 71      NP B34, 41
 162  0.95400    0.93400    0.97400    20.700     0.86000 0.86000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 163  0.95500    0.95500    0.95500    20.610     0.46000 0.46000    0.0  0.0  CAMERON 80       NP B193, 21
 164  0.96000    0.96000    0.96000    21.270     0.68000 0.68000    0.0  0.0  CONFORTO 76      NP B105, 189
 165  0.96500    0.96500    0.96500    20.340     0.58000 0.58000    0.0  0.0  CAMERON 80       NP B193, 21
