-------------------------------G4_H
-------------------------------anti_proton
### Fill Cross Sections for anti_proton off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  388       767.4     0.01212     0.08272      0.09484
  389       785.2     0.01201      0.0823      0.09432
  390       803.5      0.0119     0.08189      0.09379
  391       822.2     0.01179     0.08147      0.09326
  392       841.4     0.01168     0.08106      0.09274
  393         861     0.01157     0.08065      0.09222
  394         881     0.01147     0.08023       0.0917
  395       901.6     0.01136     0.07982      0.09118
  396       922.6     0.01125     0.07941      0.09066
  397       944.1     0.01114     0.07901      0.09015
  398       966.1     0.01104      0.0786      0.08964
  399       988.6     0.01093     0.07819      0.08912
  400        1012     0.01082     0.07779      0.08861
  401        1035     0.01072     0.07738       0.0881
  402        1059     0.01061     0.07698      0.08759
  403        1084     0.01051     0.07658      0.08709
  404        1109     0.01041     0.07618      0.08658
  405        1135      0.0103     0.07578      0.08608
  406        1161      0.0102     0.07538      0.08558
  407        1189      0.0101     0.07499      0.08509
  408        1216    0.009996     0.07458      0.08458
  409        1245    0.009892     0.07418      0.08407
  410        1274    0.009788     0.07377      0.08356
  411        1303    0.009685     0.07337      0.08305
  412        1334    0.009582     0.07297      0.08255
  413        1365     0.00948     0.07256      0.08204
  414        1396    0.009379     0.07216      0.08154
  415        1429    0.009278     0.07176      0.08104
  416        1462    0.009199     0.07144      0.08064
  417        1496    0.009104     0.07106      0.08017
  418        1531    0.009009     0.07068      0.07969
  419        1567    0.008915      0.0703      0.07922
  420        1603    0.008821     0.06992      0.07874
  421        1641    0.008728     0.06955      0.07827
  422        1679    0.008635     0.06917       0.0778
  423        1718    0.008543     0.06879      0.07734
  424        1758    0.008452     0.06842      0.07687
  425        1799    0.008361     0.06805      0.07641
  426        1841     0.00827     0.06767      0.07594
  427        1884    0.008181      0.0673      0.07548
  428        1928    0.008092     0.06693      0.07503
  429        1972    0.008003     0.06657      0.07457
  430        2018    0.007916      0.0662      0.07412
  431        2065    0.007829     0.06584      0.07367
  432        2113    0.007743     0.06548      0.07322
  433        2163    0.007657     0.06512      0.07277
  434        2213    0.007573     0.06476      0.07233
  435        2265    0.007489      0.0644      0.07189
  436        2317    0.007406     0.06405      0.07146
  437        2371    0.007324      0.0637      0.07102
  438        2427    0.007243     0.06335      0.07059
  439        2483    0.007163       0.063      0.07016
  440        2541    0.007083     0.06266      0.06974
  441        2600    0.007005     0.06231      0.06932
  442        2661    0.006927     0.06197       0.0689
  443        2723     0.00685     0.06164      0.06849
  444        2786    0.006774      0.0613      0.06807
  445        2851    0.006699     0.06097      0.06767
  446        2917    0.006626     0.06064      0.06727
  447        2985    0.006553     0.06032      0.06687
  448        3055    0.006481     0.05999      0.06648
  449        3126    0.006411     0.05967      0.06609
  450        3199    0.006342     0.05936       0.0657
  451        3273    0.006272     0.05904      0.06531
  452        3350    0.006202     0.05873      0.06493
  453        3428    0.006134     0.05841      0.06455
  454        3508    0.006067     0.05811      0.06417
  455        3589    0.006002      0.0578       0.0638
  456        3673    0.005937      0.0575      0.06344
  457        3758    0.005873      0.0572      0.06307
  458        3846     0.00581      0.0569      0.06271
  459        3936    0.005748     0.05661      0.06236
  460        4027    0.005687     0.05632      0.06201
  461        4121    0.005627     0.05603      0.06166
  462        4217    0.005568     0.05575      0.06132
  463        4315    0.005509     0.05547      0.06098
  464        4416    0.005452     0.05519      0.06064
  465        4519    0.005395     0.05492      0.06031
  466        4624    0.005339     0.05464      0.05998
  467        4732    0.005287     0.05438      0.05967
  468        4842    0.005233     0.05412      0.05935
  469        4955    0.005181     0.05386      0.05904
  470        5070     0.00513      0.0536      0.05873
  471        5188    0.005079     0.05335      0.05843
  472        5309    0.005029      0.0531      0.05813
  473        5433     0.00498     0.05285      0.05783
  474        5559    0.004932      0.0526      0.05753
  475        5689    0.004885     0.05236      0.05725
  476        5821    0.004839     0.05212      0.05696
  477        5957    0.004793     0.05189      0.05668
  478        6095    0.004748     0.05165       0.0564
  479        6237    0.004705     0.05142      0.05613
  480        6383    0.004662      0.0512      0.05586
  481        6531    0.004619     0.05097      0.05559
  482        6683    0.004577     0.05075      0.05533
  483        6839    0.004536     0.05053      0.05507
  484        6998    0.004496     0.05031      0.05481
  485        7161    0.004456      0.0501      0.05455
  486        7328    0.004418     0.04989       0.0543
  487        7499     0.00438     0.04968      0.05406
  488        7674    0.004342     0.04947      0.05382
  489        7852    0.004306     0.04927      0.05358
  490        8035     0.00427     0.04907      0.05334
  491        8222    0.004235     0.04888      0.05311
  492        8414      0.0042     0.04868      0.05288
  493        8610    0.004166     0.04849      0.05266
  494        8810    0.004133      0.0483      0.05243
  495        9016      0.0041     0.04811      0.05222
  496        9226    0.004069     0.04793        0.052
  497        9441    0.004037     0.04775      0.05179
  498        9661    0.004006     0.04757      0.05158
  499        9886    0.003976     0.04739      0.05137
  500   1.012e+04    0.003946     0.04722      0.05117
  501   1.035e+04    0.003917     0.04705      0.05096
  502   1.059e+04    0.003889     0.04688      0.05077
  503   1.084e+04    0.003861     0.04671      0.05057
  504   1.109e+04    0.003833     0.04655      0.05038
  505   1.135e+04    0.003806     0.04638      0.05019
  506   1.161e+04     0.00378     0.04622         0.05
  507   1.189e+04    0.003754     0.04606      0.04982
  508   1.216e+04    0.003728     0.04591      0.04964
  509   1.245e+04    0.003703     0.04575      0.04946
  510   1.274e+04    0.003678      0.0456      0.04928
  511   1.303e+04    0.003654     0.04545       0.0491
  512   1.334e+04     0.00363      0.0453      0.04893
  513   1.365e+04    0.003607     0.04515      0.04876
