.-------------------------------G4_H
-------------------------------pi-
### Fill Cross Sections for pi- off H
-------------------------------------------------------------
    N     E(MeV)   Elastic(b)   Inelastic(b)   Total(b)
  517   1.496e+04    0.006592     0.02159      0.02818
  518   1.531e+04    0.006579     0.02156      0.02814
  519   1.567e+04    0.006565     0.02154       0.0281
  520   1.603e+04    0.006552     0.02151      0.02806
  521   1.641e+04    0.006539     0.02148      0.02802
  522   1.679e+04    0.006526     0.02145      0.02797
  523   1.718e+04    0.006514     0.02141      0.02793
  524   1.758e+04    0.006501     0.02138      0.02788
  525   1.799e+04    0.006489     0.02135      0.02784
  526   1.841e+04    0.006477     0.02132      0.02779
  527   1.884e+04    0.006466     0.02128      0.02775
  528   1.928e+04    0.006454     0.02125       0.0277
  529   1.972e+04    0.006443     0.02121      0.02765
  530   2.018e+04    0.006431      0.0212      0.02763
  531   2.065e+04     0.00642      0.0212      0.02762
  532   2.113e+04     0.00641     0.02119       0.0276
  533   2.163e+04    0.006399     0.02119      0.02759
  534   2.213e+04    0.006389     0.02119      0.02757
  535   2.265e+04    0.006378     0.02118      0.02756
  536   2.317e+04    0.006368     0.02118      0.02755
  537   2.371e+04    0.006359     0.02118      0.02753
  538   2.427e+04    0.006349     0.02117      0.02752
  539   2.483e+04    0.006339     0.02117      0.02751
  540   2.541e+04     0.00633     0.02117       0.0275
  541     2.6e+04    0.006321     0.02116      0.02748
  542   2.661e+04    0.006312     0.02116      0.02747
  543   2.723e+04    0.006303     0.02115      0.02746
  544   2.786e+04    0.006295     0.02115      0.02744
  545   2.851e+04    0.006287     0.02115      0.02743
  546   2.917e+04    0.006278     0.02114      0.02742
  547   2.985e+04     0.00627     0.02114      0.02741
  548   3.055e+04    0.006263     0.02113       0.0274
  549   3.126e+04    0.006255     0.02113      0.02738
  550   3.199e+04    0.006248     0.02112      0.02737
  551   3.273e+04     0.00624     0.02112      0.02736
  552    3.35e+04    0.006233     0.02111      0.02735
  553   3.428e+04    0.006226     0.02111      0.02734
  554   3.508e+04     0.00622      0.0211      0.02732
  555   3.589e+04    0.006213      0.0211      0.02731
  556   3.673e+04    0.006207     0.02109       0.0273
  557   3.758e+04      0.0062     0.02109      0.02729
  558   3.846e+04    0.006194     0.02108      0.02728
  559   3.936e+04    0.006188     0.02108      0.02727
  560   4.027e+04    0.006183     0.02107      0.02726
  561   4.121e+04    0.006177     0.02107      0.02724
  562   4.217e+04    0.006172     0.02106      0.02723
  563   4.315e+04    0.006167     0.02105      0.02722
  564   4.416e+04    0.006162     0.02105      0.02721
  565   4.519e+04    0.006157     0.02104       0.0272
  566   4.624e+04    0.006152     0.02104      0.02719
  567   4.732e+04    0.006148     0.02103      0.02718
  568   4.842e+04    0.006143     0.02102      0.02716
  569   4.955e+04    0.006139     0.02101      0.02715
  570    5.07e+04    0.006135     0.02101      0.02714
  571   5.188e+04    0.006131       0.021      0.02713
  572   5.309e+04    0.006128     0.02099      0.02712
  573   5.433e+04    0.006124     0.02098      0.02711
  574   5.559e+04    0.006121     0.02098       0.0271
  575   5.689e+04    0.006118     0.02097      0.02709
  576   5.821e+04    0.006115     0.02096      0.02707
  577   5.957e+04    0.006112     0.02095      0.02706
  578   6.095e+04    0.006109     0.02094      0.02705
  579   6.237e+04    0.006106     0.02093      0.02704
  580   6.383e+04    0.006104     0.02093      0.02703
  581   6.531e+04    0.006102     0.02092      0.02702
  582   6.683e+04      0.0061     0.02091      0.02701
  583   6.839e+04    0.006098      0.0209      0.02699
  584   6.998e+04    0.006096     0.02089      0.02698
  585   7.161e+04    0.006094     0.02088      0.02697
  586   7.328e+04    0.006093     0.02087      0.02696
  587   7.499e+04    0.006092     0.02086      0.02695
  588   7.674e+04     0.00609     0.02084      0.02693
  589   7.852e+04    0.006089     0.02083      0.02692
  590   8.035e+04    0.006088     0.02082      0.02691
  591   8.222e+04    0.006088     0.02081       0.0269
  592   8.414e+04    0.006087      0.0208      0.02689
  593    8.61e+04    0.006087     0.02079      0.02687
  594    8.81e+04    0.006087     0.02077      0.02686
  595   9.016e+04    0.006086     0.02076      0.02685
  596   9.226e+04    0.006086     0.02075      0.02683
  597   9.441e+04    0.006087     0.02073      0.02682
  598   9.661e+04    0.006087     0.02072      0.02681
  599   9.886e+04    0.006087     0.02071      0.02679
  600   1.012e+05    0.006088     0.02073      0.02682
